Parameter,Value,Unit,Notes
Significance level (alpha),0.05,--,Two-sided test
Statistical power (1-beta),0.80,--,80% power
z_{alpha/2},1.96,--,Standard normal critical value
z_{beta},0.842,--,Standard normal critical value for 80% power
(z_{alpha/2} + z_{beta})^2,7.851,--,Computed: (1.96 + 0.842)^2
Minimum detectable effect (MDE),0.04,$/mile,Hypothesis confirmation threshold from business_case_frame.md
Trip-level SD of margin per mile (sigma),0.60,$/mile,"Conservative estimate for individual LGA airport rides (mean $1.30/mile, CV ~46%)"
Design effect (DEFF),1.3,--,Accounts for within-rain-event clustering of trips (ICC ~0.08 assumed)
n per arm (naive),3533,trips,Formula: 2 * sigma^2 * (z_alpha/2 + z_beta)^2 / MDE^2
n per arm (design-adjusted),4593,trips,= 3533 * 1.3; rounded up
Total trips required,9186,trips,Both arms combined
Avg trips per rain hour at LGA (all riders),528.6,trips/hour,Observed rain-period average from TLC data (Jan-Aug 2025)
Trips per arm per rain hour (50/50 split),264.3,trips/hour/arm,= 528.6 / 2
Rain hours needed per arm,17.4,rain hours,= 4593 / 264.3
Rain rate at LGA,6.3%,fraction of calendar hours,"357 light rain hours / 5702 total hours (Jan-Aug 2025)"
Statistical minimum calendar duration,11.6,calendar days,= (17.4 rain hours) / 0.063 / 24
Recommended test duration,8,weeks,"Driven by independent-event coverage, not sample size"
Expected rain hours in 8 weeks,84.1,rain hours,= 8 * 7 * 24 * 0.063
Expected trips per arm in 8 weeks,22240,trips,= 84.1 * 264.3
Statistical safety margin (8 weeks),4.8,x required sample,= 22240 / 4593
Expected independent rain events (8 weeks),21,events,= 84.1 hours / 4.0 hours per event (estimated avg event duration)
Expected rain hours in 12 weeks,126.2,rain hours,Alternative extended duration
Expected trips per arm in 12 weeks,33360,trips,12-week run
Expected independent rain events (12 weeks),32,events,12-week run
Volume kill threshold (trips/hr),501,trips/hour,= 528.6 * 0.95 (5% volume drop threshold in treatment arm vs control)
